run_id,model_type,method,repetition,seed,asset_index,asset,group,current_weight,optimized_weight,weight_change,integer_lots,asset_lower,asset_upper
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,140,Asset_140,Group_6,0.004,-6.644726085505053e-17,-0.004000000000000067,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,141,Asset_141,Group_0,0.004,-4.265372319435037e-17,-0.004000000000000043,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,142,Asset_142,Group_2,0.004,-1.1079460463167907e-17,-0.004000000000000011,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,143,Asset_143,Group_3,0.004,1.0863803221538084e-17,-0.003999999999999989,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,144,Asset_144,Group_1,0.004,-6.28300858560381e-17,-0.0040000000000000625,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,145,Asset_145,Group_1,0.004,-1.5100522088115796e-17,-0.004000000000000015,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,146,Asset_146,Group_0,0.004,-5.205343724265449e-18,-0.004000000000000005,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,147,Asset_147,Group_7,0.004,-3.856152145671201e-17,-0.004000000000000038,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,148,Asset_148,Group_3,0.004,0.004000000000000118,1.1796119636642288e-16,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,149,Asset_149,Group_4,0.004,-2.287655398684521e-16,-0.004000000000000229,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,150,Asset_150,Group_0,0.004,-1.1931177276314045e-17,-0.004000000000000012,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,151,Asset_151,Group_1,0.004,-4.285256821084695e-17,-0.004000000000000043,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,152,Asset_152,Group_4,0.004,3.695379451909698e-17,-0.003999999999999963,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,153,Asset_153,Group_4,0.004,2.1534118444335255e-17,-0.003999999999999978,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,154,Asset_154,Group_6,0.004,0.0882078535634587,0.0842078535634587,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,155,Asset_155,Group_1,0.004,0.045824421746191085,0.04182442174619108,,0.0,0.2
